iter	Logloss
0	0.6858201106
1	0.6786527209
2	0.6718524553
3	0.6651146976
4	0.6583916174
5	0.6519297399
6	0.6461441177
7	0.6401863572
8	0.6340990287
9	0.6280900909
10	0.6234612139
11	0.6180984112
12	0.6133747915
13	0.6088977888
14	0.60484644
15	0.6001730543
16	0.5956454185
17	0.5912966993
18	0.5869886908
19	0.5829173322
20	0.5789168941
21	0.5753475293
22	0.571319432
23	0.5676403017
24	0.5643233904
25	0.5610221542
26	0.557674647
27	0.5546170023
28	0.5515334277
29	0.5489548892
30	0.545957822
31	0.5435232847
32	0.5407707059
33	0.538104212
34	0.5351853019
35	0.5333223686
36	0.5311082847
37	0.5286946951
38	0.5261734972
39	0.5240281811
40	0.5216524386
41	0.5195885462
42	0.5176530589
43	0.5156001523
44	0.5138167061
45	0.5118316216
46	0.5096458467
47	0.5078058479
48	0.5060087168
49	0.5039656551
50	0.502096972
51	0.5007792555
52	0.4989953545
53	0.4973935876
54	0.495810782
55	0.4943036043
56	0.4928382619
57	0.4918341592
58	0.4902799819
59	0.4887676778
60	0.4872717926
61	0.4857085962
62	0.4844178214
63	0.4832531021
64	0.4821202097
65	0.4807877206
66	0.479565293
67	0.4785433236
68	0.4773000181
69	0.476172696
70	0.4750301763
71	0.4739095437
72	0.4727213451
73	0.47162245
74	0.4706287031
75	0.4695398974
76	0.4685973579
77	0.4674770592
78	0.4666744563
79	0.465856534
80	0.465036763
81	0.4640689944
82	0.4632664566
83	0.4624344835
84	0.4621962623
85	0.4611474447
86	0.4601603863
87	0.4593872699
88	0.4583351721
89	0.4576068978
90	0.4566747334
91	0.4560623874
92	0.4552745226
93	0.4545588464
94	0.453672822
95	0.4530279044
96	0.4522306803
97	0.4515341095
98	0.450671158
99	0.4498520689
100	0.4493439044
101	0.4486348637
102	0.4478531158
103	0.4471497401
104	0.4464445027
105	0.4458112033
106	0.4451113414
107	0.4444960107
108	0.4437332455
109	0.443179794
110	0.4424424025
111	0.4417998836
112	0.4411814753
113	0.440657394
114	0.4400046593
115	0.4391742458
116	0.4385274913
117	0.4377694421
118	0.4371918078
119	0.4364452035
120	0.4359043688
121	0.4351250141
122	0.4347768428
123	0.4341633236
124	0.4335112728
125	0.4330053664
126	0.4329533401
127	0.432293053
128	0.4322022107
129	0.4318729166
130	0.4312087472
131	0.430602014
132	0.4299337474
133	0.4294840544
134	0.4289090473
135	0.4284612597
136	0.4280147323
137	0.4275183661
138	0.4271196888
139	0.4267100611
140	0.4261328836
141	0.4256777278
142	0.4252653044
143	0.4248788788
144	0.4244166623
145	0.4239884563
146	0.4234894904
147	0.423092
148	0.422760456
149	0.4222974168
150	0.4217727495
151	0.4213186448
152	0.4209201837
153	0.4204902805
154	0.4200009197
155	0.419553209
156	0.4191913685
157	0.4185252735
158	0.4182228211
159	0.4177701
160	0.4174172132
161	0.4170986238
162	0.4165877594
163	0.415962206
164	0.415680333
165	0.4153686688
166	0.4149112687
167	0.4148620718
168	0.4144862739
169	0.4140113927
170	0.4136404262
171	0.4131835929
172	0.4127201876
173	0.4123269841
174	0.4122204483
175	0.4118367396
176	0.4114237641
177	0.4109567033
178	0.4106406943
179	0.4102662042
180	0.4100344211
181	0.4096359535
182	0.4091768034
183	0.4087493789
184	0.4083091264
185	0.4078760355
186	0.4074910312
187	0.4074498495
188	0.4070059038
189	0.4067578216
190	0.4065025871
191	0.4062246333
192	0.4058274782
193	0.4055007303
194	0.4054259493
195	0.4051323182
196	0.4048635205
197	0.4045905075
198	0.4042494966
199	0.4040160284
200	0.4036749828
201	0.4036302857
202	0.4033154008
203	0.4029740776
204	0.4025392055
205	0.4022932691
206	0.4019971785
207	0.4016669703
208	0.401329042
209	0.4010782332
210	0.400703567
211	0.4003384714
212	0.4000601387
213	0.3996925648
214	0.3992873772
215	0.3989568339
216	0.3988846977
217	0.3985775708
218	0.398370441
219	0.398240518
220	0.3979937025
221	0.3977712426
222	0.3974794308
223	0.397210007
224	0.3969997409
225	0.3967743258
226	0.3963649571
227	0.3959804704
228	0.3958955006
229	0.3957369977
230	0.3955224662
231	0.3952211653
232	0.395061534
233	0.3947750293
234	0.3945478982
235	0.3942639876
236	0.3940415942
237	0.3938206564
238	0.3935496618
239	0.3932333731
240	0.3930020927
241	0.3927872107
242	0.392533569
243	0.3922780103
244	0.3920809369
245	0.392011446
246	0.391816798
247	0.3915675252
248	0.3913651769
249	0.3910747942
250	0.3908283082
251	0.3906282135
252	0.3904102922
253	0.3902374899
254	0.3900334553
255	0.3898164109
256	0.3895638939
257	0.3894555332
258	0.3892318775
259	0.3891640686
260	0.3888751604
261	0.3886664824
262	0.3884225036
263	0.3882295053
264	0.3880146117
265	0.3878073351
266	0.3875444726
267	0.3872901239
268	0.387094316
269	0.3868140234
270	0.38653586
271	0.3864419234
272	0.3862539632
273	0.3860589708
274	0.3858351359
275	0.3855538516
276	0.3853386464
277	0.3851935659
278	0.3850385216
279	0.3847641468
280	0.3845876423
281	0.3842904073
282	0.3840442262
283	0.3839258225
284	0.383923045
285	0.3838095282
286	0.3836842345
287	0.3834746749
288	0.3832948048
289	0.3831930758
290	0.3829530881
291	0.3827827078
292	0.3826253425
293	0.3824384412
294	0.3821450046
295	0.381924419
296	0.3817980888
297	0.3816200191
298	0.3814831171
299	0.3812693679
300	0.381058449
301	0.3810152188
302	0.3808229344
303	0.3805876171
304	0.3804269831
305	0.3802103495
306	0.3800087677
307	0.379989068
308	0.3797965192
309	0.3795681914
310	0.3794831268
311	0.3793349915
312	0.3791425595
313	0.3789875813
314	0.378835595
315	0.3786469143
316	0.3783489222
317	0.3781758771
318	0.3780870678
319	0.3778919755
320	0.3777328526
321	0.3776421032
322	0.3774358734
323	0.3773150264
324	0.3771928468
325	0.3770409953
326	0.3769647475
327	0.3768194778
328	0.376664899
329	0.3765442416
330	0.3763669943
331	0.3762278839
332	0.3761214943
333	0.3761132639
334	0.3759291065
335	0.3756547705
336	0.3754961307
337	0.3752810411
338	0.3751415241
339	0.3748855025
340	0.3747129463
341	0.3744688405
342	0.3743702115
343	0.3741150871
344	0.3739974123
345	0.3738477024
346	0.373813039
347	0.373809094
348	0.3736318821
349	0.3735335713
350	0.3733547895
351	0.3732262119
352	0.373068792
353	0.3729194651
354	0.3727741635
355	0.3725450704
356	0.3724867413
357	0.3724840208
358	0.3723442008
359	0.3721225934
360	0.3720285058
361	0.3718819169
362	0.3717738756
363	0.3717023619
364	0.3715609877
365	0.3714558495
366	0.371363404
367	0.3713205917
368	0.3712575542
369	0.3711540563
370	0.3710837095
371	0.3710165366
372	0.3709281746
373	0.3708018224
374	0.3706404908
375	0.3705239
376	0.3703743255
377	0.3701975358
378	0.3700217323
379	0.3698750648
380	0.3696384549
381	0.36963809
382	0.369513763
383	0.3692710499
384	0.3691687546
385	0.3690328333
386	0.3689297277
387	0.3689095246
388	0.3687933675
389	0.3686537396
390	0.3685202899
391	0.3683855364
392	0.368302863
393	0.3682165466
394	0.3681068569
395	0.3679699998
396	0.3678185138
397	0.3677599514
398	0.367646995
399	0.3675477155
400	0.3673759976
401	0.3672302228
402	0.3670477667
403	0.3669981153
404	0.3668595014
405	0.3667511747
406	0.3666912521
407	0.3665278904
408	0.3664171757
409	0.3662811689
410	0.3661878566
411	0.3660799401
412	0.3659651195
413	0.3659100239
414	0.3658224349
415	0.3656571395
416	0.3655481881
417	0.365464737
418	0.3653560291
419	0.3651637197
420	0.3650220964
421	0.3649518945
422	0.364820982
423	0.364715286
424	0.364665039
425	0.3646537778
426	0.3646186022
427	0.3645324089
428	0.3643940405
429	0.3642607169
430	0.3641149422
431	0.3640131013
432	0.3638707594
433	0.3638053986
434	0.3636469087
435	0.3635417922
436	0.3635262072
437	0.3633886711
438	0.3632516246
439	0.3631911905
440	0.3630055232
441	0.3628988364
442	0.3627917149
443	0.3626940992
444	0.3626474772
445	0.3624782945
446	0.3623205673
447	0.3621924499
448	0.3621862382
449	0.3621209642
450	0.3619746587
451	0.3619435285
452	0.361938767
453	0.3619373949
454	0.3618172189
455	0.3617237946
456	0.3616060333
457	0.3614903675
458	0.3614026069
459	0.3613112657
460	0.3612483098
461	0.3612348547
462	0.3611869945
463	0.3610577494
464	0.3609661381
465	0.3608835103
466	0.3608607274
467	0.3607862994
468	0.3606174999
469	0.3604991257
470	0.3603747547
471	0.3602621103
472	0.3602252681
473	0.3600830116
474	0.3600303124
475	0.3599422852
476	0.3598885262
477	0.3597984519
478	0.3596816216
479	0.3595457887
480	0.3594674276
481	0.3594204765
482	0.3593673883
483	0.3592333839
484	0.3592333511
485	0.3591923012
486	0.3591043504
487	0.3590012222
488	0.3588803863
489	0.3588056797
490	0.3587259267
491	0.3586238753
492	0.3585158431
493	0.3583964154
494	0.3583039607
495	0.3582120445
496	0.3580697919
497	0.3580289505
498	0.3579214212
499	0.3579213501
500	0.3578473073
501	0.3578377285
502	0.3576851171
503	0.3575636813
504	0.3574646226
505	0.3574001366
506	0.3573502824
507	0.3573467309
508	0.3572483913
509	0.3572228741
510	0.3571505911
511	0.3570834271
512	0.3569619577
513	0.3569012296
514	0.3568245933
515	0.3567488641
516	0.3565840017
517	0.356468661
518	0.35642287
519	0.356338906
520	0.3562780897
521	0.3562456852
522	0.3561653187
523	0.3561308422
524	0.3561306068
525	0.35610882
526	0.3560174511
527	0.3559131041
528	0.3558260395
529	0.3557321094
530	0.3557164906
531	0.3556098037
532	0.3554456121
533	0.3552705776
534	0.3551618065
535	0.3550855811
536	0.3550069072
537	0.3549280553
538	0.3548413524
539	0.3547206714
540	0.3546305975
541	0.3544859545
542	0.3544222982
543	0.3543299186
544	0.3542642468
545	0.3541121017
546	0.3540087184
547	0.3538734749
548	0.3537373483
549	0.3536025978
550	0.3535625452
551	0.3534927257
552	0.3534318576
553	0.3532655534
554	0.3531815896
555	0.3531236674
556	0.3529628269
557	0.3528946798
558	0.3527402638
559	0.3526398661
560	0.3525178671
561	0.3524403164
562	0.3522888634
563	0.3522089049
564	0.3521886527
565	0.3521656921
566	0.3521532616
567	0.3520790935
568	0.3520150873
569	0.3519957876
570	0.3519539254
571	0.3518933647
572	0.3517428435
573	0.3516135811
574	0.3515569068
575	0.3514449297
576	0.3513193328
577	0.3512722533
578	0.3512122158
579	0.3510666475
580	0.3510645744
581	0.350949622
582	0.3509453557
583	0.3508096642
584	0.3507203474
585	0.3506726252
586	0.350548631
587	0.3504721418
588	0.3503931503
589	0.3502948915
590	0.3502229072
591	0.3501280489
592	0.3500183154
593	0.3498636972
594	0.3497699785
595	0.3496757945
596	0.3495716144
597	0.3494383988
598	0.3493361357
599	0.3492243489
600	0.3491278436
601	0.3490708138
602	0.3489332902
603	0.3488245044
604	0.3487474348
605	0.3486447148
606	0.3485864729
607	0.3484831256
608	0.3483807881
609	0.3483246458
610	0.3481556813
611	0.3480730129
612	0.3480114954
613	0.3479485752
614	0.3478771675
615	0.3478053383
616	0.3477110839
617	0.3476662557
618	0.3475885091
619	0.3475786341
620	0.347522652
621	0.3474387914
622	0.347345746
623	0.3472619554
624	0.3471838637
625	0.3471175513
626	0.3470654132
627	0.3470072591
628	0.3469370976
629	0.3468753985
630	0.3468103813
631	0.3467125891
632	0.3466253427
633	0.3465596181
634	0.3464645732
635	0.3464013501
636	0.346287238
637	0.3461890948
638	0.3461737653
639	0.34611882
640	0.346076461
641	0.3459427426
642	0.3458685636
643	0.34573929
644	0.3456846505
645	0.3455946927
646	0.3454913586
647	0.3454394795
648	0.3453598869
649	0.3452425535
650	0.3451887257
651	0.3451507336
652	0.3450950056
653	0.3450469607
654	0.3449732975
655	0.3448915314
656	0.3448149245
657	0.3447239527
658	0.3446849491
659	0.3446160578
660	0.3445195353
661	0.3444506855
662	0.3443866263
663	0.3442622475
664	0.3441192454
665	0.3440176838
666	0.3439381755
667	0.3438862824
668	0.343811139
669	0.3437462924
670	0.3436870135
671	0.3436040053
672	0.3435443367
673	0.3434816962
674	0.3433869074
675	0.3433262842
676	0.3432423725
677	0.3431638302
678	0.343087974
679	0.3430194311
680	0.3429651094
681	0.3429222374
682	0.3428628545
683	0.3427865439
684	0.342717265
685	0.3426634914
686	0.3425736535
687	0.3425123138
688	0.3424429452
689	0.3423724856
690	0.3423153485
691	0.3422568979
692	0.342191423
693	0.342149368
694	0.3420524813
695	0.3420082756
696	0.341927764
697	0.3418641248
698	0.341822383
699	0.3417645475
700	0.341729711
701	0.3416862364
702	0.3416377794
703	0.3415806027
704	0.3415438128
705	0.3414890307
706	0.3414415616
707	0.341371109
708	0.3413299669
709	0.3412305122
710	0.3411659267
711	0.3411158755
712	0.3410419204
713	0.3409379407
714	0.3408635687
715	0.3408157978
716	0.3407702255
717	0.3407329922
718	0.3406996205
719	0.3406468496
720	0.3405648653
721	0.3405023026
722	0.3404514184
723	0.3403726847
724	0.3403041987
725	0.3401956753
726	0.3401370307
727	0.3400445757
728	0.3399932675
729	0.3399372016
730	0.339890115
731	0.3398208852
732	0.3397541903
733	0.3396754797
734	0.3395863222
735	0.3394822316
736	0.3394222409
737	0.339354924
738	0.3392973223
739	0.3392432154
740	0.3391645327
741	0.3391119187
742	0.3390486226
743	0.3389995835
744	0.3389567706
745	0.3388783761
746	0.3388297736
747	0.3387620889
748	0.3387000712
749	0.3386567885
750	0.3385845841
751	0.3385367473
752	0.3384788154
753	0.3384260332
754	0.338370971
755	0.3383167281
756	0.3382528205
757	0.3382209392
758	0.3381686527
759	0.3381163653
760	0.3380467543
761	0.338008978
762	0.3379589663
763	0.3378994164
764	0.3378449275
765	0.3378021658
766	0.3377239203
767	0.3376675695
768	0.3376053273
769	0.3375532298
770	0.3375011327
771	0.3374323718
772	0.3373700303
773	0.337332448
774	0.3372831753
775	0.3372335184
776	0.3371821892
777	0.3371264525
778	0.3370650352
779	0.3370252853
780	0.3369658173
781	0.3368905796
782	0.3368595244
783	0.3368134496
784	0.3367236431
785	0.3366655256
786	0.3366127536
787	0.3365595058
788	0.3365043961
789	0.3364502146
790	0.3363964304
791	0.3363443871
792	0.3362933069
793	0.3362550234
794	0.3362029813
795	0.3361580016
796	0.3361216338
797	0.3360697997
798	0.3360000929
799	0.3359451438
800	0.3358932528
801	0.3358641361
802	0.3358087116
803	0.3357574897
804	0.335706882
805	0.3356711291
806	0.3356284322
807	0.3355850969
808	0.3355130335
809	0.3354718562
810	0.3354342537
811	0.3353828479
812	0.3353450541
813	0.3353133134
814	0.3352672272
815	0.3352480961
816	0.3352039337
817	0.3351644113
818	0.335133787
819	0.3350945376
820	0.335064483
821	0.3350176276
822	0.3349748269
823	0.3348934584
824	0.3348513951
825	0.3348133269
826	0.3347622736
827	0.334724993
828	0.3346840898
829	0.334640285
830	0.3345955015
831	0.3345727779
832	0.3345300405
833	0.3344580705
834	0.3344219588
835	0.3343792358
836	0.3343388573
837	0.3343031192
838	0.334272394
839	0.3342050577
840	0.3341744406
841	0.3341191476
842	0.3340734598
843	0.3340446602
844	0.3340101711
845	0.3339549109
846	0.3339025782
847	0.3338634141
848	0.3338263978
849	0.3337948782
850	0.3337542654
851	0.3337185106
852	0.3336795652
853	0.3336348913
854	0.3335904509
855	0.3335508501
856	0.3335082525
857	0.3334710893
858	0.3334200506
859	0.3333752826
860	0.3333488903
861	0.3333018305
862	0.3332649117
863	0.3332427998
864	0.3331934436
865	0.3331699051
866	0.3331265874
867	0.3330810457
868	0.3330484416
869	0.3330050053
870	0.3329364899
871	0.3328940668
872	0.3328616016
873	0.3328026654
874	0.3327342943
875	0.3326891556
876	0.3326578842
877	0.3326154519
878	0.3325761185
